Date,Open,High,Low,Close,Adj Close,Volume
1/8/2014,19.243214,19.484285,19.23893,19.409286,17.290642,258529600
1/9/2014,19.52857,19.530714,19.119642,19.161428,17.069838,279148800
1/10/2014,19.279642,19.314285,18.968214,19.033571,16.955933,304976000
1/13/2014,18.925358,19.375,18.924286,19.133215,17.044699,378492800
1/14/2014,19.222143,19.526072,19.202143,19.513929,17.383856,332561600
1/15/2014,19.768572,20.007143,19.702143,19.905714,17.732878,391638800
1/16/2014,19.817858,19.887501,19.702856,19.794643,17.633934,229278000
1/17/2014,19.695715,19.716785,19.282143,19.309643,17.201874,426739600
1/21/2014,19.321072,19.645357,19.300714,19.609644,17.469124,328526800
1/22/2014,19.675358,19.903214,19.564644,19.696787,17.546757,379985200
1/23/2014,19.640715,19.875,19.4575,19.863571,17.695337,403239200
1/24/2014,19.785713,19.843571,19.455357,19.502501,17.373678,429354800
1/27/2014,19.645357,19.814285,19.491072,19.660713,17.51462,554878800
1/28/2014,18.17,18.392857,17.93107,18.089287,16.114723,1065523200
1/29/2014,17.998215,18.120358,17.807858,17.883928,15.931781,502810000
1/30/2014,17.947857,18.089287,17.739286,17.849285,15.900919,678501600
1/31/2014,17.684999,17.911785,17.626785,17.878571,15.927006,464797200
2/3/2014,17.950357,18.133215,17.832144,17.911785,15.956603,401464000
2/4/2014,18.066071,18.195,17.955713,18.17107,16.187578,376681200
2/5/2014,18.091429,18.402857,18.080357,18.306786,16.308481,328344800
2/6/2014,18.216429,18.339287,18.13607,18.303928,16.403542,257765200
2/7/2014,18.620714,18.676071,18.477858,18.559999,16.633018,370280400
2/10/2014,18.523571,18.999643,18.5,18.8925,16.931,345559200
2/11/2014,18.950357,19.205357,18.910713,19.14143,17.154089,282256800
2/12/2014,19.176786,19.27,19.044287,19.139999,17.152805,308100800
2/13/2014,19.094999,19.458929,19.078571,19.44393,17.425179,307398000
2/14/2014,19.373928,19.499287,19.32893,19.428213,17.411098,272924400
2/18/2014,19.5,19.685356,19.486071,19.499643,17.475115,260251600
2/19/2014,19.455357,19.531786,19.083929,19.191786,17.199215,313768000
2/20/2014,19.035357,19.178572,18.892857,18.969643,17.000139,305858000
2/21/2014,19.028214,19.091785,18.735714,18.758928,16.811304,278784800
2/24/2014,18.683929,18.925714,18.657858,18.84107,16.884911,288909600
2/25/2014,18.906429,18.913214,18.607143,18.645,16.7092,231952000
2/26/2014,18.700357,18.75,18.414286,18.476786,16.558445,276217200
2/27/2014,18.469286,18.885,18.430357,18.845358,16.888762,301882000
2/28/2014,18.895714,19.026787,18.647142,18.794287,16.842989,371968800
3/3/2014,18.693571,18.951786,18.671785,18.848572,16.89164,238781200
3/4/2014,18.964287,19.022858,18.848928,18.972857,17.003023,259140000
3/5/2014,18.96143,19.098213,18.897499,19.012857,17.038868,200062800
3/6/2014,19.028214,19.087143,18.860714,18.955357,16.987335,185488800
3/7/2014,18.967501,18.999287,18.7875,18.944286,16.977413,220729600
3/10/2014,18.870001,19.047501,18.869286,18.96143,16.992777,178584000
3/11/2014,19.123215,19.240713,19.02107,19.14607,17.158257,279224400
3/12/2014,19.089643,19.191071,19,19.164642,17.174891,199326400
3/13/2014,19.194286,19.273571,18.898571,18.951786,16.984133,257742800
3/14/2014,18.885357,18.960358,18.678572,18.73893,16.793381,237199200
3/17/2014,18.84643,18.9275,18.780357,18.812143,16.858988,199544800
3/18/2014,18.782143,18.998928,18.757143,18.978571,17.008148,209647200
3/19/2014,19.009287,19.151428,18.892857,18.973572,17.00366,224756000
3/20/2014,18.924643,19.02393,18.833929,18.882143,16.921724,208398400
3/21/2014,18.997499,19.0625,18.797501,19.031071,17.055189,374046400
3/24/2014,19.229286,19.303572,19.109285,19.256786,17.257471,355700800
3/25/2014,19.339287,19.491072,19.27107,19.463928,17.443108,282293200
3/26/2014,19.518572,19.607143,19.245001,19.277857,17.27635,299768000
3/27/2014,19.286428,19.339287,19.111429,19.195,17.202097,222031600
3/28/2014,19.225714,19.247856,19.080357,19.173571,17.182892,200564000
3/31/2014,19.258215,19.314644,19.140356,19.169287,17.179056,168669200
4/1/2014,19.205713,19.352501,19.170357,19.344643,17.336205,200760000
